species;habitat;venom_stat(threat_to_humans);threat_to_humans;model_predictions
Oreochromis-aureus;"Freshwater; brackish;  benthopelagic; potamodromous (Ref. 51243); depth range 5 - ? m. Tropical; 8°C - 30°C (Ref. 2); 35°N -   10°N";nonvenomous;Potential pest (Ref. 6465);"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01778 (0.01389 - 0.02277), b=2.99 (2.95 - 3.03), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.1   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 2.2 (0.3 - 4.4) years. Estimated as median ln(3)/K based on 10 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (K=0.48-0.58; tm<1).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (26 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Micropterus-salmoides;"Freshwater;  benthopelagic; pH range: 7.0 - 7.5; dH range: 10 - ?; depth range 0 - 6 m (Ref. 1998). Subtropical; 10°C - 32°C (Ref. 12741); 46°N -   24°N, 125°W -   65°W (Ref. 89798)";nonvenomous;Potential pest;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5001   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01047 (0.00902 - 0.01216), b=3.08 (3.03 - 3.13), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.4 se; based on diet studies.					

				
					
					
						 Generation time: 5.2 (4.6 - 6.1) years. Estimated as median ln(3)/K based on 41 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.06-0.14; tm=3-5; tmax=16; Fec=2,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (42 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Cyprinodon-tularosa;"Freshwater; brackish;  benthopelagic; non-migratory. Subtropical; 26°C - 30°C (Ref. 13614); 34°N -   33°N";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Sebastes-umbrosus;"Marine;  demersal; depth range 30 - 119 m (Ref. 2850), usually ? - 70 m (Ref. 2850). Subtropical; 37°N -   25°N, 123°W -   112°W";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Pungitius-pungitius;"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 110 m (Ref. 58426), usually 70 - 77 m (Ref. 1998). Boreal; 10°C - 20°C (Ref. 1672); 82°N -   35°N, 180°W -   180°E";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 0.4 - 10.2, mean 4.1 °C (based on 169 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00490 (0.00255 - 0.00942), b=3.01 (2.83 - 3.19), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=1-2; tmax=5; Fec=350).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Acanthopagrus-latus;"Marine; freshwater; brackish;  demersal. Subtropical; 34°N -   15°N, 105°E -   137°E";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 21.7 - 28.5, mean 27.4 °C (based on 644 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01622 (0.01305 - 0.02015), b=2.96 (2.92 - 3.00), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.43 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.21; Fec=1,811,434).					
								
					
						 Prior r = 0.53, 95% CL = 0.35 - 0.79, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (38 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (46 of 100).					
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 87.2 [43.9, 161.3] mg/100g ; Iron = 1.02 [0.56, 2.12] mg/100g ; Protein = 19.6 [18.5, 20.8] % ; Omega3 = 0.31 [0.18, 0.53] g/100g ; Selenium = 19.5 [9.0, 40.3] μg/100g ; VitaminA = 8.92 [2.50, 30.68] μg/100g ; Zinc = 0.745 [0.490, 1.109] mg/100g (wet weight);"
Fundulus-heteroclitus;"Marine; freshwater; brackish;  benthopelagic; non-migratory. Temperate; 10°C - 24°C (Ref. 12468); 52°N -   28°N, 82°W -   55°W";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 6.1 - 23.7, mean 9.3 °C (based on 163 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00721 - 0.01208), b=3.17 (3.10 - 3.24), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.48 se; based on food items.					

				
					
					
						 Generation time: 1.5 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm<1; tmax=4).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (19 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 82.9 [39.2, 188.9] mg/100g ; Iron = 0.442 [0.225, 0.881] mg/100g ; Protein = 17.9 [16.5, 19.2] % ; Omega3 = 0.594 [0.249, 1.464] g/100g ; Selenium = 4.78 [1.73, 11.60] μg/100g ; VitaminA = 29.2 [7.9, 115.4] μg/100g ; Zinc = 1.09 [0.70, 1.68] mg/100g (wet weight);"
Sander-lucioperca;"Freshwater; brackish;  pelagic; potamodromous (Ref. 51243); depth range 2 - 30 m (Ref. 30578), usually 2 - 3 m (Ref. 27368). Temperate; 6°C - 22°C (Ref. 2059); 67°N -   36°N, 1°W -   75°E";nonvenomous;Potential pest (Ref. 57271);"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5312   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00661 (0.00549 - 0.00795), b=3.10 (3.05 - 3.15), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.0   ±0.78 se; based on food items.					

				
					
					
						 Generation time: 8.2 (5.8 - 12.2) years. Estimated as median ln(3)/K based on 19 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.10-0.24; tmax=16; Fecundity=10,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (62 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Morone-saxatilis;"Marine; freshwater; brackish;  demersal; anadromous (Ref. 51243); depth range 30 - ? m (Ref. 2850). Temperate; 8°C - 25°C (Ref. 47172); 49°N -   27°N, 94°W -   59°W (Ref. 86798)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 1 - 23.5, mean 9.3 °C (based on 22 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5781   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00743 - 0.01172), b=3.06 (2.99 - 3.13), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.7   ±0.2 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.12; tm=5-7; tmax=30; Fec=14,000).					
								
					
						 Prior r = 0.28, 95% CL = 0.18 - 0.43, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (61 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (61 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium."
Gymnodraco-acuticeps;"Marine;  demersal; depth range 0 - 550 m. Polar; 61°S -   78°S";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Pseudochaenichthys-georgianus;"Marine;  demersal; depth range 0 - 475 m. Polar; 53°S -   73°S, 179°W -   24°W";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): -1.3 - 1.2, mean -0.1 °C (based on 18 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00646 (0.00292 - 0.01429), b=3.17 (2.97 - 3.37), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 4.5 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.24; tm=4; Fec = 4,666).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (47 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (73 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low."
Trematomus-bernacchii;"Marine;  demersal; depth range 0 - 700 m (Ref. 11892), usually 0 - 200 m (Ref. 45168). Polar; 61°S -   78°S";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): -1.8 - -0.8, mean -1.7 °C (based on 2076 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5005   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00537 (0.00282 - 0.01024), b=3.24 (3.07 - 3.41), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 5.9 (2.0 - 12.2) years. Estimated as median ln(3)/K based on 11 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.19-0.91; tm=3-6; tmax=10; Fec=1,200-3,123).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (53 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High."
Anarrhichthys-ocellatus;"Marine;  demersal; depth range 1 - 226 m (Ref. 2850). Temperate; 80°N -   26°N, 117°E -   111°W (Ref. 57366)";nonvenomous;Traumatogenic (Ref. 2850);"Preferred temperature (Ref. 123201): 1.2 - 10.5, mean 4.7 °C (based on 485 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0312   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00398 (0.00177 - 0.00897), b=3.17 (2.97 - 3.37), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.53 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm=7; Fec=10,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Chanos-chanos;"Marine; freshwater; brackish;  benthopelagic; amphidromous (Ref. 51243); depth range 1 - 30 m (Ref. 6898), usually ? - 15 m (Ref. 89972). Tropical; 15°C - 43°C (Ref. 43081); 46°N -   52°S, 19°E -   77°W";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 20.7 - 29.2, mean 28.2 °C (based on 4182 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00851 (0.00651 - 0.01113), b=3.06 (2.98 - 3.14), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.4   ±0.20 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm=4-8; tmax=15; Fec=200,000).					
								
					
						 Prior r = 0.28, 95% CL = 0.16 - 0.49, Based on 3 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (66 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Triplophysa-tibetana;"Freshwater;  benthopelagic. High altitude";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Archocentrus-centrarchus;"Freshwater;  benthopelagic. Tropical; 26°C - 36°C (Ref. 36880)";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02291 (0.01073 - 0.04890), b=3.07 (2.89 - 3.25), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.6   ±0.28 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming Fec<1000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100)."
Sparus-aurata;"Marine; brackish;  demersal; depth range 1 - 150 m (Ref. 35388), usually 1 - 30 m (Ref. 54890). Subtropical; 62°N -   15°N, 17°W -   43°E (Ref. 54890)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 12.1 - 21, mean 17.8 °C (based on 258 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01202 (0.01083 - 0.01334), b=3.02 (2.99 - 3.05), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 4.2 (3.0 - 6.4) years. Estimated as median ln(3)/K based on 12 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.28; tmax=11; tm=2-3).					
								
					
						 Prior r = 0.57, 95% CL = 0.37 - 0.85, Based on 7 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (40 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (41 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Sphaeramia-orbicularis;"Marine;  reef-associated; depth range 0 - 5 m (Ref. 9710). Tropical; 31°N -   27°S, 32°E -   173°W";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 26.3 - 29.3, mean 28.6 °C (based on 2452 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02138 (0.01200 - 0.03810), b=3.07 (2.91 - 3.23), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.51 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High."
Collichthys-lucidus;"Marine;  demersal; oceanodromous (Ref. 51243); depth range ? - 90 m (Ref. 11230). Subtropical";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Perca-flavescens;"Freshwater; brackish;  benthopelagic; depth range 0 - 56 m (Ref. 11004), usually ? - 9 m (Ref. 1998). Subtropical; 0°C - 30°C (Ref. 35682); 66°N -   30°N, 124°W -   59°W (Ref. 86798)";nonvenomous;Harmless (Ref. 57406);"Nutrients  (Ref. 124155):  Calcium = 30.3 [13.5, 69.8] mg/100g ; Iron = 0.379 [0.205, 0.696] mg/100g ; Protein = 17.5 [16.4, 18.6] % ; Omega3 = 0.157 [0.070, 0.345] g/100g ; Selenium = 18.5 [6.2, 51.4] μg/100g ; VitaminA = 26.1 [11.2, 61.2] μg/100g ; Zinc = 0.785 [0.530, 1.181] mg/100g (wet weight); based on nutrient studies."
Anabarilius-grahami;"Freshwater;  benthopelagic. Subtropical";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00617 (0.00286 - 0.01328), b=3.08 (2.91 - 3.25), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming Fec < 10,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100)."
Oreochromis-niloticus;"Freshwater; brackish;  benthopelagic; potamodromous (Ref. 51243); depth range 0 - 20 m (Ref. 32849), usually ? - 20 m (Ref. 34290). Tropical; 14°C - 33°C (Ref. 3); 32°N -   5°S, 17°W -   38°E";nonvenomous;Potential pest;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01820 (0.01525 - 0.02172), b=2.98 (2.94 - 3.02), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 2.9 (2.2 - 3.9) years. Estimated as median ln(3)/K based on 26 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.14-0.41; tm=1-2; tmax=9; Fec < 1,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (30 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Maylandia-zebra;"Freshwater;  demersal; pH range: 8.0 - 8.0; dH range: 9 - 19; depth range 6 - 28 m. Tropical; 22°C - 28°C (Ref. 1672); 8°S -   15°S";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01479 (0.00690 - 0.03171), b=2.98 (2.81 - 3.15), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.3   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100)."
Seriola-lalandi;"Marine; brackish;  benthopelagic; depth range 3 - 825 m (Ref. 4517). Subtropical; 18°C - 24°C (Ref. 6390); 55°N -   57°S, 180°W -   180°E";nonvenomous;Harmless (Ref. 4795);"Preferred temperature (Ref. 123201): 9 - 23, mean 14.9 °C (based on 1169 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01862 (0.01003 - 0.03456), b=2.92 (2.75 - 3.09), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.2   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.13; tm=2; tmax=12).					
								
					
						 Prior r = 0.28, 95% CL = 0.16 - 0.49, Based on 5 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (69 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (50 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low."
Seriola-dumerili;"Marine;  reef-associated; oceanodromous (Ref. 51243); depth range 1 - 385 m (Ref. 11441), usually 18 - 72 m (Ref. 9626). Subtropical; 49°N -   36°S, 98°W -   128°E";nonvenomous;Reports of ciguatera poisoning;"Preferred temperature (Ref. 123201): 16.9 - 29, mean 27.1 °C (based on 3486 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01738 (0.01336 - 0.02261), b=2.91 (2.83 - 2.99), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 5.5 (3.9 - 5.8) years. Estimated as median ln(3)/K based on 11 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.18; tm=4; tmax=15).					
								
					
						 Prior r = 0.59, 95% CL = 0.39 - 0.89, Based on 4 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (54 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (62 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High."
Cyprinodon-variegatus;"Marine; freshwater; brackish;  benthopelagic; non-migratory. Subtropical; 45°N -   0°N, 98°W -   49°W";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 15.4 - 27.7, mean 26.7 °C (based on 572 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02692 (0.01222 - 0.05929), b=3.12 (2.92 - 3.32), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.4   ±0.1 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming tm<1 and Fec<1000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 200 [104, 445] mg/100g ; Iron = 1.36 [0.70, 2.71] mg/100g ; Protein = 17 [16, 18] % ; Omega3 = 0.251 [0.113, 0.552] g/100g ; Selenium = 10.3 [4.6, 25.5] μg/100g ; VitaminA = 21.2 [5.7, 77.3] μg/100g ; Zinc = 1.99 [1.28, 3.21] mg/100g (wet weight);"
Pundamilia-nyererei;"Freshwater;  benthopelagic; depth range 1 - 4 m (Ref. 4983). Tropical; 22°C - 28°C (Ref. 12468); 1°N -   3°S";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Dissostichus-eleginoides;"Marine;  pelagic-oceanic; oceanodromous (Ref. 51243); depth range 0 - 2144 m (Ref. 127764), usually 70 - 1500 m (Ref. 2121). Temperate; 33°S -   66°S, 77°W -   180°E (Ref. 54228)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 1.8 - 8.8, mean 4.5 °C (based on 1109 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00631 (0.00362 - 0.01099), b=3.15 (2.99 - 3.31), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.8 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Fec=230,000; tmax>=21).					
								
					
						 Prior r = 0.38, 95% CL = 0.25 - 0.57, Based on 2 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (71 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (47 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Acipenser-oxyrinchus;"Marine; freshwater; brackish;  demersal; anadromous (Ref. 51243); depth range 1 - 46 m (Ref. 4639). Subtropical; 56°N -   10°S, 102°W -   33°W (Ref. 54265)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 4.3 - 24.4, mean 17.3 °C (based on 268 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00191 (0.00103 - 0.00352), b=3.19 (3.03 - 3.35), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.50 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (K=0.03; tm=7-34; tmax=60; Fec=1.03 million).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (85 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Podarcis-lilfordi;NA;nonvenomous;NA;NA
Lates-japonicus;"Marine; freshwater; brackish;  demersal. Subtropical; 45°N -   24°N";nonvenomous;Harmless;
