species,venom_stat(threat_to_humans),habitat,model_predictions,temp_min,temp_max
Epinephelus-fuscoguttatus,nonvenomous,"Marine;  reef-associated; depth range 1 - 60 m (Ref. 9710). Tropical; 29°N -   27°S, 33°E -   171°W (Ref. 5222)","Preferred temperature (Ref. 123201): 25.4 - 29.1, mean 28.2 °C (based on 1118 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01047 (0.00700 - 0.01565), b=3.03 (2.91 - 3.15), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.1   ±0.72 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.16-0.20).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (57 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Very high vulnerability (91 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",25.4,29.1
Brienomyrus-brachyistius,nonvenomous,Freshwater; brackish;  benthopelagic. Tropical; 25°C - 28°C (Ref. 2060),"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00581 - 0.01499), b=2.71 (2.58 - 2.84), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.8   ±0.31 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming Fec < 5,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",25,28
Thunnus-albacares,nonvenomous,"Marine; brackish;  pelagic-oceanic; oceanodromous (Ref. 51243); depth range 1 - 1602 m, usually 1 - 250 m (Ref. 6390). Tropical; 15°C - 31°C (Ref. 168); 50°N -   50°S, 180°W -   180°E","Preferred temperature (Ref. 123201): 16.5 - 28.9, mean 26.7 °C (based on 6382 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01445 (0.01182 - 0.01768), b=3.03 (2.99 - 3.07), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.4 se; based on diet studies.					

				
					
					
						 Generation time: 2.8 (2.3 - 3.5) years. Estimated as median ln(3)/K based on 46 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.13-0.42; tm=2-5; tmax=8; Fec=200,000).					
								
					
						 Prior r = 0.57, 95% CL = 0.37 - 0.85, Based on 5 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (46 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (42 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High.",15,31
Siniperca-chuatsi,nonvenomous,"Freshwater;  benthopelagic; pH range: 7.0 - 7.4; dH range: 2 - 5; depth range 10 - ? m (Ref. 26334). Temperate; 4°C - 22°C (Ref. 2059); 53°N -   34°N, 113°E -   142°E","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01413 (0.01065 - 0.01873), b=3.00 (2.92 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.80 se; based on food items.					

				
					
					
						 Generation time: 7.4 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=1-2).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (48 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",4,22
Puntigrus-tetrazona,nonvenomous,"Freshwater;  benthopelagic; pH range: 6.0 - 8.0; dH range: 5 - 19. Tropical; 20°C - 26°C (Ref. 13371); 6°N -   3°S, 95°E -   118°E","Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",20,26
Clupea-harengus,nonvenomous,"Marine; brackish;  benthopelagic; oceanodromous (Ref. 51243); depth range 0 - 364 m (Ref. 58426), usually 0 - 200 m (Ref. 6683). Temperate; 1°C - 18°C (Ref. 188); 80°N -   33°N, 95°W -   70°E","Preferred temperature (Ref. 123201): 0.5 - 11.2, mean 6.6 °C (based on 912 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00550 (0.00483 - 0.00625), b=3.10 (3.06 - 3.14), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 3.3 (3.1 - 3.5) years. Estimated as median ln(3)/K based on 85 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (rm=0.1-0.5; K=0.2-0.6; tm=2-5; tmax=25; Fec=17,300-301,000).					
								
					
						 Prior r = 0.45, 95% CL = 0.30 - 0.68, Based on 40 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (41 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Low to moderate vulnerability (29 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",1,18
Plectropomus-leopardus,nonvenomous,24,?,,
Thunnus-maccoyii,nonvenomous,"Marine;  pelagic-oceanic; oceanodromous (Ref. 51243); depth range 50 - 2743 m (Ref. 57178). Temperate; 5°C - 20°C (Ref. 168); 10°S -   60°S, 180°W -   180°E (Ref. 54921)","Preferred temperature (Ref. 123201): 2.5 - 7.9, mean 5 °C (based on 439 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01288 (0.01067 - 0.01556), b=3.03 (2.99 - 3.07), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.9   ±0.53 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.14-0.15; tm=8-9; tmax=20; Fec=14 million).					
								
					
						 Prior r = 0.27, 95% CL = 0.18 - 0.41, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (67 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (38 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",,
Nibea-albiflora,nonvenomous,"Marine;  benthopelagic; depth range 25 - 80 m (Ref. 11230). Temperate; 39°N -   18°N, 105°E -   135°E","Nutrients  (Ref. 124155):  Calcium = 33.4 [17.5, 69.7] mg/100g ; Iron = 0.315 [0.149, 0.588] mg/100g ; Protein = 18.8 [17.5, 20.1] % ; Omega3 = 0.603 [0.290, 1.145] g/100g ; Selenium = 14.9 [6.8, 31.8] μg/100g ; VitaminA = 16.9 [4.2, 71.0] μg/100g ; Zinc = 0.529 [0.363, 0.798] mg/100g (wet weight);",,
Haplochromis-burtoni,nonvenomous,Freshwater;  benthopelagic; pH range: 8.5 - 9.0; dH range: 12 - 16; non-migratory. Tropical; 20°C - 25°C (Ref. 13371); 3°S -   9°S,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01479 (0.00690 - 0.03171), b=2.98 (2.81 - 3.15), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.35 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",20,25
Toxotes-jaculatrix,nonvenomous,Freshwater; brackish;  pelagic-neritic; amphidromous (Ref. 51243). Tropical; 25°C - 30°C (Ref. 1672),"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01660 (0.00632 - 0.04360), b=3.00 (2.77 - 3.23), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.6   ±0.27 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (20 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",25,30
Gasterosteus-aculeatus,nonvenomous,"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 100 m (Ref. 50550). Subtropical; 4°C - 20°C (Ref. 1672); 72°N -   25°N, 117°E -   60°E (Ref. 26213)","Preferred temperature (Ref. 123201): 2 - 13.5, mean 8 °C (based on 2296 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00977 (0.00665 - 0.01435), b=3.09 (2.98 - 3.20), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.2 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (K=0.6-1.8; tm=1; tmax=4; Fec=80).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (24 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Low to moderate vulnerability (26 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",4,20
Simochromis-diagramma,nonvenomous,Freshwater;  benthopelagic. Tropical; 25°C -  ? (Ref. 2059); 3°S -   9°S,25,?,
Perca-fluviatilis,nonvenomous,"Freshwater; brackish;  demersal; pH range: 7.0 - 7.5; dH range: 8 - 12; anadromous (Ref. 51243); depth range 1 - 30 m (Ref. 9988), usually 3 - 4 m (Ref. 55947). Temperate; 10°C - 22°C (Ref. 1672); 74°N -   38°N, 91°W -   168°E","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00977 (0.00823 - 0.01161), b=3.09 (3.04 - 3.14), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 5.8 (5.3 - 7.3) years. Estimated as median ln(3)/K based on 38 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.1-0.4; tm=2-4; tmax=22; Fecundity=13,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (44 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",10,22
Pimephales-promelas,nonvenomous,Freshwater;  demersal. Subtropical; 0°C - 33°C (Ref. 35682); 61°N -   29°N,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5625   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00851 (0.00615 - 0.01177), b=3.07 (2.98 - 3.16), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.4   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tmax=2).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (17 of 100).",0,33
Oreochromis-aureus,nonvenomous,Freshwater; brackish;  benthopelagic; potamodromous (Ref. 51243); depth range 5 - ? m. Tropical; 8°C - 30°C (Ref. 2); 35°N -   10°N,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01778 (0.01389 - 0.02277), b=2.99 (2.95 - 3.03), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.1   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 2.2 (0.3 - 4.4) years. Estimated as median ln(3)/K based on 10 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (K=0.48-0.58; tm<1).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (26 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",8,30
Micropterus-salmoides,nonvenomous,"Freshwater;  benthopelagic; pH range: 7.0 - 7.5; dH range: 10 - ?; depth range 0 - 6 m (Ref. 1998). Subtropical; 10°C - 32°C (Ref. 12741); 46°N -   24°N, 125°W -   65°W (Ref. 89798)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5001   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01047 (0.00902 - 0.01216), b=3.08 (3.03 - 3.13), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.4 se; based on diet studies.					

				
					
					
						 Generation time: 5.2 (4.6 - 6.1) years. Estimated as median ln(3)/K based on 41 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.06-0.14; tm=3-5; tmax=16; Fec=2,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (42 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",10,32
Cyprinodon-tularosa,nonvenomous,Freshwater; brackish;  benthopelagic; non-migratory. Subtropical; 26°C - 30°C (Ref. 13614); 34°N -   33°N,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",26,30
Sebastes-umbrosus,nonvenomous,"Marine;  demersal; depth range 30 - 119 m (Ref. 2850), usually ? - 70 m (Ref. 2850). Subtropical; 37°N -   25°N, 123°W -   112°W","Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Pungitius-pungitius,nonvenomous,"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 110 m (Ref. 58426), usually 70 - 77 m (Ref. 1998). Boreal; 10°C - 20°C (Ref. 1672); 82°N -   35°N, 180°W -   180°E","Preferred temperature (Ref. 123201): 0.4 - 10.2, mean 4.1 °C (based on 169 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00490 (0.00255 - 0.00942), b=3.01 (2.83 - 3.19), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=1-2; tmax=5; Fec=350).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",10,20
Acanthopagrus-latus,nonvenomous,"Marine; freshwater; brackish;  demersal. Subtropical; 34°N -   15°N, 105°E -   137°E","Preferred temperature (Ref. 123201): 21.7 - 28.5, mean 27.4 °C (based on 644 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01622 (0.01305 - 0.02015), b=2.96 (2.92 - 3.00), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.43 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.21; Fec=1,811,434).					
								
					
						 Prior r = 0.53, 95% CL = 0.35 - 0.79, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (38 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (46 of 100).					
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 87.2 [43.9, 161.3] mg/100g ; Iron = 1.02 [0.56, 2.12] mg/100g ; Protein = 19.6 [18.5, 20.8] % ; Omega3 = 0.31 [0.18, 0.53] g/100g ; Selenium = 19.5 [9.0, 40.3] μg/100g ; VitaminA = 8.92 [2.50, 30.68] μg/100g ; Zinc = 0.745 [0.490, 1.109] mg/100g (wet weight);",21.7,28.5
Fundulus-heteroclitus,nonvenomous,"Marine; freshwater; brackish;  benthopelagic; non-migratory. Temperate; 10°C - 24°C (Ref. 12468); 52°N -   28°N, 82°W -   55°W","Preferred temperature (Ref. 123201): 6.1 - 23.7, mean 9.3 °C (based on 163 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00721 - 0.01208), b=3.17 (3.10 - 3.24), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.48 se; based on food items.					

				
					
					
						 Generation time: 1.5 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm<1; tmax=4).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (19 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 82.9 [39.2, 188.9] mg/100g ; Iron = 0.442 [0.225, 0.881] mg/100g ; Protein = 17.9 [16.5, 19.2] % ; Omega3 = 0.594 [0.249, 1.464] g/100g ; Selenium = 4.78 [1.73, 11.60] μg/100g ; VitaminA = 29.2 [7.9, 115.4] μg/100g ; Zinc = 1.09 [0.70, 1.68] mg/100g (wet weight);",10,24
Sander-lucioperca,nonvenomous,"Freshwater; brackish;  pelagic; potamodromous (Ref. 51243); depth range 2 - 30 m (Ref. 30578), usually 2 - 3 m (Ref. 27368). Temperate; 6°C - 22°C (Ref. 2059); 67°N -   36°N, 1°W -   75°E",,6,22
Morone-saxatilis,nonvenomous,"Marine; freshwater; brackish;  demersal; anadromous (Ref. 51243); depth range 30 - ? m (Ref. 2850). Temperate; 8°C - 25°C (Ref. 47172); 49°N -   27°N, 94°W -   59°W (Ref. 86798)","Preferred temperature (Ref. 123201): 1 - 23.5, mean 9.3 °C (based on 22 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5781   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00743 - 0.01172), b=3.06 (2.99 - 3.13), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.7   ±0.2 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.12; tm=5-7; tmax=30; Fec=14,000).					
								
					
						 Prior r = 0.28, 95% CL = 0.18 - 0.43, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (61 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (61 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium.",8,25
Gymnodraco-acuticeps,nonvenomous,Marine;  demersal; depth range 0 - 550 m. Polar; 61°S -   78°S,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Pseudochaenichthys-georgianus,nonvenomous,"Marine;  demersal; depth range 0 - 475 m. Polar; 53°S -   73°S, 179°W -   24°W","Preferred temperature (Ref. 123201): -1.3 - 1.2, mean -0.1 °C (based on 18 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00646 (0.00292 - 0.01429), b=3.17 (2.97 - 3.37), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 4.5 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.24; tm=4; Fec = 4,666).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (47 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (73 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",-1.3,-1.2
Trematomus-bernacchii,nonvenomous,"Marine;  demersal; depth range 0 - 700 m (Ref. 11892), usually 0 - 200 m (Ref. 45168). Polar; 61°S -   78°S","Preferred temperature (Ref. 123201): -1.8 - -0.8, mean -1.7 °C (based on 2076 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5005   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00537 (0.00282 - 0.01024), b=3.24 (3.07 - 3.41), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 5.9 (2.0 - 12.2) years. Estimated as median ln(3)/K based on 11 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.19-0.91; tm=3-6; tmax=10; Fec=1,200-3,123).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (53 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",-1.8,-0.8
Anarrhichthys-ocellatus,nonvenomous,"Marine;  demersal; depth range 1 - 226 m (Ref. 2850). Temperate; 80°N -   26°N, 117°E -   111°W (Ref. 57366)","Preferred temperature (Ref. 123201): 1.2 - 10.5, mean 4.7 °C (based on 485 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0312   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00398 (0.00177 - 0.00897), b=3.17 (2.97 - 3.37), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.53 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm=7; Fec=10,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",1.2,10.5
Chanos-chanos,nonvenomous,"Marine; freshwater; brackish;  benthopelagic; amphidromous (Ref. 51243); depth range 1 - 30 m (Ref. 6898), usually ? - 15 m (Ref. 89972). Tropical; 15°C - 43°C (Ref. 43081); 46°N -   52°S, 19°E -   77°W","Preferred temperature (Ref. 123201): 20.7 - 29.2, mean 28.2 °C (based on 4182 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00851 (0.00651 - 0.01113), b=3.06 (2.98 - 3.14), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.4   ±0.20 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm=4-8; tmax=15; Fec=200,000).					
								
					
						 Prior r = 0.28, 95% CL = 0.16 - 0.49, Based on 3 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (66 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",15,43
Triplophysa-tibetana,nonvenomous,Freshwater;  benthopelagic. High altitude,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Archocentrus-centrarchus,nonvenomous,Freshwater;  benthopelagic. Tropical; 26°C - 36°C (Ref. 36880),"Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02291 (0.01073 - 0.04890), b=3.07 (2.89 - 3.25), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.6   ±0.28 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming Fec<1000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",26,36
