species,habitat,venomous,threat_to_humans,model_predictions,temp_min,temp_max
Lateolabrax-maculatus,"Marine; freshwater; brackish;  reef-associated; catadromous (Ref. 51243); depth range 5 - ? m. Subtropical; 44°N -   15°N, 106°E -   143°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 12.7 - 26.3, mean 22.4 °C (based on 180 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01259 (0.00883 - 0.01794), b=3.02 (2.92 - 3.12), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.3 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.14-0.2; tm=2; Fec=1,726,242).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (52 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (54 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",12.7,26.3
Anoplopoma-fimbria,"Marine;  bathydemersal; oceanodromous (Ref. 51243); depth range 175 - 2740 m (Ref. 6793), usually 175 - 1450 m (Ref. 10935). Deep-water; 64°N -   23°N, 141°E -   109°W",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 1.4 - 5.5, mean 2.5 °C (based on 599 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.2500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01096 (0.00786 - 0.01529), b=2.99 (2.89 - 3.09), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 5.8 (4.9 - 7.8) years. Estimated as median ln(3)/K based on 23 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (K=0.2; tm=6; Fec=100,000; tmax=94).					
								
					
						 Prior r = 0.11, 95% CL = 0.06 - 0.16, Based on 5 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (49 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (58 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",1.4,5.5
Perca-flavescens,"Freshwater; brackish;  benthopelagic; depth range 0 - 56 m (Ref. 11004), usually ? - 9 m (Ref. 1998). Subtropical; 0°C - 30°C (Ref. 35682); 66°N -   30°N, 124°W -   59°W (Ref. 86798)",nonvenomous,Harmless (Ref. 57406),"Nutrients  (Ref. 124155):  Calcium = 30.3 [13.5, 69.8] mg/100g ; Iron = 0.379 [0.205, 0.696] mg/100g ; Protein = 17.5 [16.4, 18.6] % ; Omega3 = 0.157 [0.070, 0.345] g/100g ; Selenium = 18.5 [6.2, 51.4] μg/100g ; VitaminA = 26.1 [11.2, 61.2] μg/100g ; Zinc = 0.785 [0.530, 1.181] mg/100g (wet weight); based on nutrient studies.",0,30
Perca-fluviatilis,"Freshwater; brackish;  demersal; pH range: 7.0 - 7.5; dH range: 8 - 12; anadromous (Ref. 51243); depth range 1 - 30 m (Ref. 9988), usually 3 - 4 m (Ref. 55947). Temperate; 10°C - 22°C (Ref. 1672); 74°N -   38°N, 91°W -   168°E",nonvenomous,Potential pest,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00977 (0.00823 - 0.01161), b=3.09 (3.04 - 3.14), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 5.8 (5.3 - 7.3) years. Estimated as median ln(3)/K based on 38 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.1-0.4; tm=2-4; tmax=22; Fecundity=13,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (44 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",10,22
Etheostoma-cragini,Freshwater;  benthopelagic. Subtropical; 40°N -   33°N,nonvenomous,Harmless,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Sparus-aurata,"Marine; brackish;  demersal; depth range 1 - 150 m (Ref. 35388), usually 1 - 30 m (Ref. 54890). Subtropical; 62°N -   15°N, 17°W -   43°E (Ref. 54890)",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 12.1 - 21, mean 17.8 °C (based on 258 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01202 (0.01083 - 0.01334), b=3.02 (2.99 - 3.05), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 4.2 (3.0 - 6.4) years. Estimated as median ln(3)/K based on 12 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.28; tmax=11; tm=2-3).					
								
					
						 Prior r = 0.57, 95% CL = 0.37 - 0.85, Based on 7 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (40 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (41 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",12.1,21
Plectropomus-leopardus,"Marine;  reef-associated; depth range 3 - 100 m (Ref. 9710). Tropical; 24°C -  ? (Ref. 2160); 35°N -   30°S, 99°E -   178°W (Ref. 5222)",nonvenomous,Reports of ciguatera poisoning (Ref. 4821),"Preferred temperature (Ref. 123201): 24.7 - 29, mean 28 °C (based on 1194 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5078   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01175 (0.01053 - 0.01310), b=3.05 (3.02 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.7 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=2-4; tmax=26; Fec=457,900).					
								
					
						 Prior r = 0.71, 95% CL = 0.47 - 1.06, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (51 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Very high vulnerability (85 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",24.7,29
Scomber-japonicus,"Marine;  pelagic-neritic; oceanodromous (Ref. 51243); depth range 0 - 300 m (Ref. 168), usually 50 - 200 m (Ref. 35185). Subtropical; 10°C - 27°C (Ref. 35185); 60°N -   48°S, 116°E -   70°W",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 9.3 - 27.7, mean 20.7 °C (based on 1526 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5625   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00741 (0.00663 - 0.00829), b=3.05 (3.02 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 3.6 (3.1 - 5.0) years. Estimated as median ln(3)/K based on 24 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.12-0.22; tm=2-3; tmax=18).					
								
					
						 Prior r = 0.48, 95% CL = 0.32 - 0.73, Based on 3 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (31 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Low vulnerability (24 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High.",9.3,27.7
Pholis-gunnellus,"Marine; brackish;  demersal; non-migratory; depth range 0 - 100 m (Ref. 48978), usually 0 - 30 m (Ref. 35388). Polar; 72°N -   43°N, 76°W -   45°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 4.3 - 11.9, mean 9.5 °C (based on 692 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5005   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00209 (0.00111 - 0.00395), b=3.17 (3.00 - 3.34), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.46 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=1-3; K=0.18-0.29; tmax=12).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (34 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 45.4 [22.6, 102.7] mg/100g ; Iron = 0.459 [0.178, 0.913] mg/100g ; Protein = 17.6 [16.6, 18.6] % ; Omega3 = 0.25 [0.12, 0.51] g/100g ; Selenium = 11 [4, 27] μg/100g ; VitaminA = 14.6 [2.9, 73.2] μg/100g ; Zinc = 0.637 [0.420, 0.952] mg/100g (wet weight);",4.3,11.9
Epinephelus-lanceolatus,"Marine; brackish;  reef-associated; depth range 1 - 200 m (Ref. 89972), usually ? - 50 m (Ref. 37816). Tropical; 29°N -   39°S, 24°E -   122°W (Ref. 5222)",nonvenomous,Traumatogenic (Ref. 4690),"Preferred temperature (Ref. 123201): 24.3 - 29.1, mean 28.1 °C (based on 1346 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01175 (0.00558 - 0.02474), b=3.04 (2.88 - 3.20), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.0   ±0.60 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",24.3,29.1
Gymnodraco-acuticeps,Marine;  demersal; depth range 0 - 550 m. Polar; 61°S -   78°S,nonvenomous,Harmless,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Lates-calcarifer,"Marine; freshwater; brackish;  demersal; catadromous (Ref. 51243); depth range 10 - 40 m (Ref. 7261). Tropical; 15°C - 28°C (Ref. 2060); 49°N -   26°S, 56°E -   155°E (Ref. 54239)",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 25 - 29.1, mean 28.3 °C (based on 710 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5006   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01000 (0.00634 - 0.01577), b=3.00 (2.87 - 3.13), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.60 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.09-0.13; tm=1-5; Fec = 15,300,000).					
								
					
						 Prior r = 0.58, 95% CL = 0.38 - 0.87, Based on 13 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (70 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (72 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",25,29.1
Trematomus-bernacchii,"Marine;  demersal; depth range 0 - 700 m (Ref. 11892), usually 0 - 200 m (Ref. 45168). Polar; 61°S -   78°S",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): -1.8 - -0.8, mean -1.7 °C (based on 2076 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5005   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00537 (0.00282 - 0.01024), b=3.24 (3.07 - 3.41), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 5.9 (2.0 - 12.2) years. Estimated as median ln(3)/K based on 11 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.19-0.91; tm=3-6; tmax=10; Fec=1,200-3,123).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (53 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",-1.8,-0.8
Notothenia-rossii,"Marine;  demersal; oceanodromous (Ref. 51243); depth range 5 - 350 m (Ref. 28106), usually 5 - 350 m (Ref. 28106). Polar; -1°C - 5°C (Ref. 28106); 45°S -   67°S, 75°W -   165°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 0.7 - 4.7, mean 2.1 °C (based on 140 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5078   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00589 (0.00479 - 0.00724), b=3.18 (3.12 - 3.24), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.56 se; based on food items.					

				
					
					
						 Generation time: 8.5 (6.1 - 9.8) years. Estimated as median ln(3)/K based on 17 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.10-0.16; tmax=16; Fec=19,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (63 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (54 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High.",0.7,4.7
Anarrhichthys-ocellatus,"Marine;  demersal; depth range 1 - 226 m (Ref. 2850). Temperate; 80°N -   26°N, 117°E -   111°W (Ref. 57366)",nonvenomous,Traumatogenic (Ref. 2850),"Preferred temperature (Ref. 123201): 1.2 - 10.5, mean 4.7 °C (based on 485 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0312   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00398 (0.00177 - 0.00897), b=3.17 (2.97 - 3.37), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.53 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm=7; Fec=10,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",1.2,10.5
Triplophysa-dalaica,Freshwater;  benthopelagic. Temperate,nonvenomous,Harmless,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Centropristis-striata,Marine;  reef-associated; oceanodromous (Ref. 51243); depth range 1 - ? m (Ref. 9988). Temperate; 45°N -   25°N,venomous,Venomous (Ref. 9988),"Nutrients  (Ref. 124155):  Calcium = 10.3 [5.8, 21.8] mg/100g ; Iron = 0.206 [0.105, 0.391] mg/100g ; Protein = 18.8 [16.9, 20.6] % ; Omega3 = 0.401 [0.220, 0.718] g/100g ; Selenium = 9.98 [4.95, 22.14] μg/100g ; VitaminA = 60 [17, 246] μg/100g ; Zinc = 0.411 [0.270, 0.632] mg/100g (wet weight);",,
Seriola-dumerili,"Marine;  reef-associated; oceanodromous (Ref. 51243); depth range 1 - 385 m (Ref. 11441), usually 18 - 72 m (Ref. 9626). Subtropical; 49°N -   36°S, 98°W -   128°E",nonvenomous,Reports of ciguatera poisoning,"Preferred temperature (Ref. 123201): 16.9 - 29, mean 27.1 °C (based on 3486 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01738 (0.01336 - 0.02261), b=2.91 (2.83 - 2.99), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 5.5 (3.9 - 5.8) years. Estimated as median ln(3)/K based on 11 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.18; tm=4; tmax=15).					
								
					
						 Prior r = 0.59, 95% CL = 0.39 - 0.89, Based on 4 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (54 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (62 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High.",16.9,29
Pseudochaenichthys-georgianus,"Marine;  demersal; depth range 0 - 475 m. Polar; 53°S -   73°S, 179°W -   24°W",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): -1.3 - 1.2, mean -0.1 °C (based on 18 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00646 (0.00292 - 0.01429), b=3.17 (2.97 - 3.37), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 4.5 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.24; tm=4; Fec = 4,666).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (47 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (73 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",-1.3,1.2
Epinephelus-fuscoguttatus,"Marine;  reef-associated; depth range 1 - 60 m (Ref. 9710). Tropical; 29°N -   27°S, 33°E -   171°W (Ref. 5222)",nonvenomous,Reports of ciguatera poisoning (Ref. 4690),"Preferred temperature (Ref. 123201): 25.4 - 29.1, mean 28.2 °C (based on 1118 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01047 (0.00700 - 0.01565), b=3.03 (2.91 - 3.15), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.1   ±0.72 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.16-0.20).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (57 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Very high vulnerability (91 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",25.4,29.1
Epinephelus-moara,"Marine;  reef-associated; depth range 20 - 200 m (Ref. 5222). Tropical; 38°N -   18°N, 108°E -   142°E (Ref. 5222)",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 17.7 - 23.7, mean 20.5 °C (based on 94 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01148 (0.00671 - 0.01964), b=3.06 (2.92 - 3.20), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.0   ±0.66 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (82 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",17.7,23.7
Etheostoma-spectabile,Freshwater;  benthopelagic. Temperate; 4°C - 18°C (Ref. 2059); 43°N -   30°N,nonvenomous,Harmless,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",4,18
Ammodytes-marinus,"Marine; brackish;  benthopelagic; depth range 10 - 150 m (Ref. 35388), usually 10 - 150 m (Ref. 35388). Temperate; 73°N -   49°N, 54°W -   60°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 6.7 - 11, mean 9.7 °C (based on 1058 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00288 (0.00213 - 0.00391), b=3.10 (3.03 - 3.17), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.40 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.16-0.89; tm=1-3; tmax=10; Fec=4,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (30 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Low.",6.7,11
Acanthopagrus-latus,"Marine; freshwater; brackish;  demersal. Subtropical; 34°N -   15°N, 105°E -   137°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 21.7 - 28.5, mean 27.4 °C (based on 644 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01622 (0.01305 - 0.02015), b=2.96 (2.92 - 3.00), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.43 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.21; Fec=1,811,434).					
								
					
						 Prior r = 0.53, 95% CL = 0.35 - 0.79, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (38 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (46 of 100).					
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 87.2 [43.9, 161.3] mg/100g ; Iron = 1.02 [0.56, 2.12] mg/100g ; Protein = 19.6 [18.5, 20.8] % ; Omega3 = 0.31 [0.18, 0.53] g/100g ; Selenium = 19.5 [9.0, 40.3] μg/100g ; VitaminA = 8.92 [2.50, 30.68] μg/100g ; Zinc = 0.745 [0.490, 1.109] mg/100g (wet weight);",21.7,28.5
Notothenia-coriiceps,"Marine;  demersal; depth range 0 - 550 m. Polar; 46°S -   78°S, 180°W -   180°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): -1.7 - 2.4, mean -0.6 °C (based on 170 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5078   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00661 (0.00540 - 0.00808), b=3.21 (3.15 - 3.27), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.8   ±0.35 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Assuming tm>4).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (60 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (50 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",-1.7,2.4
Triplophysa-rosa,Freshwater;  demersal. Subtropical; 13°C -  ? (Ref. 57680),nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00708 (0.00335 - 0.01497), b=3.00 (2.83 - 3.17), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",,
Anabas-testudineus,Freshwater; brackish;  demersal; potamodromous (Ref. 51243); depth range 0 - ? m (Ref. 4833). Tropical; 22°C - 30°C (Ref. 1672); 28°N -   10°S,nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02399 (0.01795 - 0.03206), b=2.93 (2.85 - 3.01), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.0   ±0.4 se; based on diet studies.					

				
					
					
						 Generation time: 0.8 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Assuming tm=1; K=1.4; Fec=40,000-80,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (15 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",22,30
